team,titles,champion_prob
Spain,2743,0.2743
Argentina,1643,0.1643
England,952,0.0952
France,914,0.0914
Brazil,567,0.0567
Netherlands,471,0.0471
Colombia,404,0.0404
Portugal,324,0.0324
Ecuador,238,0.0238
Morocco,228,0.0228
Switzerland,207,0.0207
Uruguay,191,0.0191
Germany,187,0.0187
Croatia,175,0.0175
Senegal,151,0.0151
Japan,138,0.0138
Belgium,119,0.0119
South Korea,69,0.0069
Norway,59,0.0059
Canada,32,0.0032
Mexico,32,0.0032
Austria,28,0.0028
Iran,21,0.0021
Turkey,19,0.0019
Australia,19,0.0019
Paraguay,16,0.0016
Algeria,15,0.0015
United States,12,0.0012
Ivory Coast,8,0.0008
Uzbekistan,4,0.0004
Egypt,4,0.0004
Scotland,3,0.0003
Tunisia,2,0.0002
Czech Republic,2,0.0002
Sweden,1,0.0001
New Zealand,1,0.0001
Panama,1,0.0001
